SensorID,Location,SensorType,ReadingTime,Value,Unit,Status,MaintenanceRequired,LastMaintenanceDate
10fb425a-f530-44c3-81df-e2c20058b270,Johns Turnpike,Temperature,2024-04-19 06:19:51,22.63,°C,Inactive,Yes,2024-03-18
be8b5b34-7efa-40b0-bbc2-c6797aecf265,Smith Gardens,Air Quality,2024-03-13 15:45:00,38.39,µg/m³,Faulty,No,2024-07-15
7b2e82a9-b598-4e85-809a-8d7cde154bcf,Katherine Turnpike,Air Quality,2024-01-30 17:12:06,47.12,µg/m³,Inactive,No,N/A
107ea8bc-0298-429d-9eac-fb6f24a9726c,Jeffrey Shoal,Temperature,2024-01-26 05:16:44,43.33,°C,Active,No,2024-04-15
296e78fa-c332-4d20-8e1b-f3942053daa8,Stewart Throughway,Humidity,2024-02-16 19:44:35,74.62,%,Inactive,No,2024-06-07
dd70584d-72ab-41c7-8b95-fc193f26d875,Nathan Orchard,Humidity,2024-06-25 19:25:12,4.32,%,Active,Yes,N/A
7d2b1520-9b42-4618-95eb-287c2ba9f0ad,Hunter Extensions,Energy Consumption,2024-05-15 05:49:48,99.92,kWh,Inactive,Yes,2024-05-14
d0cb66ad-a977-4138-b04d-008628cf4e0e,Alyssa Wall,Energy Consumption,2024-06-28 17:30:07,55.98,kWh,Faulty,No,2024-02-25
cf55bd69-2bf7-45ee-9ea0-17a4e72699d5,Dennis Tunnel,Temperature,2024-03-08 18:07:33,29.85,°C,Inactive,No,N/A
670f1b51-da0f-4e12-84da-c28870ea241b,Jennifer Ramp,Noise Level,2024-07-13 14:01:58,9.07,dB,Faulty,Yes,N/A
b7f09d32-e32f-4cde-b699-3bcf82a0d690,Vaughan Prairie,Energy Consumption,2024-04-02 09:12:13,65.22,kWh,Faulty,Yes,N/A
810be921-5bc7-4c3a-9798-4cf8d6fb2d39,Mary Spring,Humidity,2024-03-14 03:24:19,67.97,%,Faulty,No,N/A
cb5a047d-3c00-48b6-91b3-7af75f3c4ddb,Peterson Junctions,Humidity,2024-02-24 05:26:57,72.51,%,Active,Yes,N/A
3d701283-c375-42d8-b532-ad77c4fc87ac,Byrd Burgs,Temperature,2024-05-15 02:02:19,0.79,°C,Inactive,Yes,N/A
d73d4fbf-7d0d-4eda-9507-ac952378c213,Washington Parkway,Energy Consumption,2024-05-22 19:01:16,9.37,kWh,Active,Yes,N/A
49872b3c-dae0-40e7-86c1-80733e404abb,Smith Forge,Air Quality,2024-06-28 22:31:27,20.18,µg/m³,Active,No,N/A
89fafcc4-5b99-405d-9914-4571c6273f42,Derrick Brooks,Humidity,2024-06-19 21:33:20,0.75,%,Active,Yes,N/A
10f31547-2026-49dc-9de1-5538a784abf8,Catherine Dale,Humidity,2024-05-22 19:32:13,12.94,%,Faulty,No,2024-08-19
4725562d-900f-4111-958d-2df3a7694c9e,Christian Street,Noise Level,2024-02-07 07:08:42,67.21,dB,Inactive,Yes,2024-05-03
9e9e9776-0905-4c23-8756-a2bc3e34b031,Angela Mountains,Noise Level,2024-08-14 07:49:12,72.49,dB,Inactive,No,N/A
8c005aa5-1cff-4aab-83fe-7d75e6168f99,Beck Knoll,Traffic Flow,2024-03-13 18:34:04,51.23,vehicles/hour,Active,Yes,N/A
9c3282dc-54a2-496e-96a4-b1faa3f7d855,Washington Locks,Temperature,2024-07-29 01:23:26,52.68,°C,Inactive,Yes,2024-04-23
d03708eb-b307-4736-976f-10afb380ee0b,Hughes Vista,Air Quality,2024-07-15 00:27:29,0.58,µg/m³,Inactive,Yes,N/A
65958586-8702-498e-87b2-dd4dd0a54dc5,Xavier Spur,Air Quality,2024-07-08 17:41:35,81.93,µg/m³,Inactive,Yes,N/A
459434c3-f357-46d9-983f-7aa436aa1486,Brian Track,Air Quality,2024-06-01 16:55:55,66.34,µg/m³,Active,No,N/A
6c185cec-3f4f-4f8a-9221-56e8fb19dfdc,Colin Ramp,Air Quality,2024-07-22 21:14:52,80.67,µg/m³,Faulty,Yes,N/A
5801ad45-c376-47ae-af9a-1d74c3b557fc,Samantha Parkways,Humidity,2024-02-20 11:56:58,37.35,%,Active,Yes,2024-04-08
a5058182-7898-41b2-a44d-5873abf71beb,James Ford,Humidity,2024-08-27 12:21:37,58.09,%,Active,Yes,N/A
44877e33-21ef-4dd8-a984-274827750783,Joseph Wells,Noise Level,2024-01-18 14:08:15,5.93,dB,Faulty,Yes,N/A
6e71d099-1e6e-4d60-a748-8696c99e548d,Green Extension,Noise Level,2024-04-14 19:41:29,0.13,dB,Inactive,No,2024-06-18
60d25914-6650-407a-a489-91f3eb12b32d,Kara Hollow,Humidity,2024-08-01 07:04:19,29.66,%,Active,No,2024-04-19
2939512f-d77e-4882-a565-579dce0b3e91,David Mission,Temperature,2024-03-25 03:11:52,14.07,°C,Faulty,No,N/A
7f11db2b-77b5-4640-bb39-2f51aba26901,Joseph Prairie,Traffic Flow,2024-06-20 12:09:32,68.18,vehicles/hour,Inactive,No,N/A
c8ea214f-d25d-474c-917c-ef3f99dc088a,Williams Highway,Noise Level,2024-06-21 23:32:17,94.14,dB,Inactive,Yes,2024-02-28
57272173-9fe8-4f0b-a8de-6f2050b7ba7f,Brett Causeway,Humidity,2024-06-08 14:34:59,11.78,%,Active,Yes,N/A
b3340a05-99be-4126-aba5-d544c40e49d8,Daniel Shoal,Noise Level,2024-04-14 05:12:54,41.15,dB,Active,Yes,N/A
c6ea87b2-7674-4dde-ba7a-8ebfed530625,Alexander Inlet,Air Quality,2024-06-24 07:59:16,8.85,µg/m³,Active,Yes,N/A
739b6581-6334-408f-a03d-796d54a084b0,Mccormick Port,Humidity,2024-03-12 18:55:01,93.54,%,Active,No,N/A
168b9f1e-0754-4fa4-91b0-f49dddbb899d,Deanna Junctions,Humidity,2024-05-07 17:27:17,11.09,%,Inactive,No,2024-07-31
591220d2-c3cb-457a-953b-cd0ac4f43652,Angela Divide,Humidity,2024-01-01 01:03:20,83.25,%,Active,No,N/A
8fd79a26-bb04-4462-9f2c-7a2f095f30a0,Adam Walk,Humidity,2024-06-26 12:44:03,80.99,%,Active,Yes,N/A
eb1985ab-fe4b-4b7c-9d08-5de9fca123e0,Angela Vista,Temperature,2024-02-10 16:29:15,82.34,°C,Faulty,Yes,N/A
c83440b5-34a0-4e93-87ee-d62d0342564e,David Inlet,Temperature,2024-01-23 10:30:22,43.63,°C,Faulty,No,2024-04-03
51fc8869-53ff-4e0b-952a-e0cae21829ed,Duke Villages,Energy Consumption,2024-04-05 18:26:27,12.31,kWh,Faulty,No,N/A
519b1245-2b96-4ee8-8140-c99776d083ff,Ramirez Neck,Humidity,2024-08-04 11:18:20,45.14,%,Active,No,N/A
f4b8126d-c3c5-4797-a528-4c3a74fce931,Craig Forges,Air Quality,2024-02-25 11:12:31,0.34,µg/m³,Inactive,No,N/A
cd9df12d-0063-46b2-be6c-79bcafd5f195,Moreno Walk,Temperature,2024-01-06 05:56:57,14.11,°C,Inactive,Yes,N/A
178c3dde-d205-4127-8e3e-cef118614b2d,Jason Orchard,Humidity,2024-07-20 07:56:57,14.25,%,Inactive,Yes,2024-06-10
0ebc937a-6af5-4abd-ae8f-941933be9dae,John Union,Energy Consumption,2024-07-29 22:44:14,56.04,kWh,Active,No,2024-05-11
dbbc0947-44fc-4728-8e9e-f4e50598d375,Martinez Turnpike,Humidity,2024-05-13 18:14:37,49.44,%,Faulty,Yes,N/A
319d2741-f303-48d9-b112-8ddcccac21d3,Randolph Forges,Traffic Flow,2024-08-19 20:00:21,7.94,vehicles/hour,Active,Yes,2024-07-07
58b59542-0e7a-4584-8b29-824c811ce43a,Franklin Burgs,Traffic Flow,2024-05-24 08:11:21,20.96,vehicles/hour,Faulty,Yes,N/A
b1198483-082e-484b-82c2-0ff9aaaa8c0c,Michelle Underpass,Air Quality,2024-02-02 16:09:03,51.93,µg/m³,Inactive,No,N/A
c256a615-7590-4377-8ec5-764baacf4273,Powell Pass,Energy Consumption,2024-04-19 18:07:51,28.5,kWh,Inactive,No,2024-03-22
f25edea4-00f6-46ca-9f2b-4bfe752e4b86,David Rue,Air Quality,2024-03-27 01:54:44,75.8,µg/m³,Active,No,2024-03-02
748662b3-8279-4634-96e7-337239de1523,Crawford Mountain,Noise Level,2024-03-23 19:12:06,73.59,dB,Active,No,N/A
e7cd91c1-07d1-4e17-a1e3-49f001e74634,Christian Flats,Noise Level,2024-07-18 06:45:21,66.02,dB,Faulty,Yes,N/A
106a6f89-4445-4be9-a5f9-e7a6910a5cec,Steven Fall,Humidity,2024-06-21 01:52:24,49.08,%,Inactive,Yes,2024-07-20
2d8f7af4-e99d-4894-9599-8d2482d8b545,Brown Brook,Traffic Flow,2024-06-08 01:16:53,57.55,vehicles/hour,Active,Yes,2024-05-29
a06be7e1-4f5b-4364-ac84-a31bb9a981ca,Montgomery Glens,Air Quality,2024-03-01 07:57:05,93.47,µg/m³,Faulty,Yes,N/A
e135946e-78cf-489d-8d1d-78b9892d99c4,Jessica Ridges,Energy Consumption,2024-05-29 10:05:03,4.74,kWh,Active,No,2024-01-09
fe6851ac-c780-4ba9-a6c8-aaa318d19fe0,Sherman Land,Noise Level,2024-07-07 17:33:28,96.95,dB,Active,No,2024-08-11
98090f0f-1911-43de-9d37-1034e5665de2,Stephens Falls,Noise Level,2024-03-01 16:59:46,26.86,dB,Inactive,No,2024-04-03
accae22a-8a88-4974-9498-bdede9474449,Navarro Walks,Traffic Flow,2024-03-28 21:02:12,72.05,vehicles/hour,Faulty,Yes,2024-01-04
a23241ec-29b4-41ab-b224-60443c6706d5,Butler Drive,Energy Consumption,2024-07-15 09:25:59,62.03,kWh,Active,Yes,N/A
66cefd9b-b428-4320-87b4-a208a9dfd624,Salazar Pine,Energy Consumption,2024-02-09 17:16:38,66.69,kWh,Inactive,No,N/A
58517d9d-b3ad-4dc1-8a4f-9a919c8b1483,Rowland Harbors,Energy Consumption,2024-04-18 17:32:20,15.11,kWh,Inactive,No,2024-06-02
e95be4f4-53bb-425d-8030-da1fc009433b,Higgins Skyway,Energy Consumption,2024-06-11 23:35:37,10.31,kWh,Inactive,Yes,N/A
695187e9-d634-43bd-9f30-e5168e4c23a4,Hayley Overpass,Temperature,2024-04-03 05:51:56,52.15,°C,Active,Yes,N/A
